report_text,category,severity,language
Nag aalala po kami dahil Nasusunog ang tindahan may mga taong naiipit sa loob,Fire,High,tagalog
Ang mga alagang aso ng kapitbahay ay palaging umaatake sa mga dumaan sana ay tulungan ninyo kami.,Animal,Medium,tagalog
"Mahal na barangay tanggapan, May bitak sa plasa ng barangay maliit lang naman pero gusto ko lang ireport pakiusap.",Structural,Low,tagalog
Ang LPG tank ay naputok at nagdulot ng sunog sa paligid kailangan na talaga ng tulong.,Fire,High,tagalog
"Importante po ito, Malaking landslide sa kabundukan naiipit ang ilang pamilya sa ibaba",Landslide,High,tagalog
Alam ko po na marami kayong trabaho pero Maraming butas sa daan sa aming sityo kailangan ng ayos salamat po.,Road Hazard,Medium,tagalog
"Pakiusap sana ay tulungan kami, Nalaglag ang overpass bridge component sa kalsada delikado sa mga sasakyan salamat po.",Road Hazard,High,tagalog
Walang tubig kami tuwing umaga dapat ay may tubig maaari ba kayong tumulong?,Utility,Medium,tagalog
Nag aalala po kami dahil Bumagsak ang lupa mula sa mataas na bahagi patungo sa mga bahay sa ilalim pakiusap.,Landslide,High,tagalog
Naputol ang high tension wire at bumagsak sa palengke,Power Hazard,High,tagalog
"Natumba an dakulang parte kan tulay sa samuyang lugar, peligroso",Infrastructure,High,bikol
"Pakiusap sana ay tulungan kami, May pagguho ng lupa sa estero naharang na ang daloy ng tubig umaasa po kaming maaksyunan ito.",Landslide,High,tagalog
"Importante po ito, Ang kalsada sa aming barangay ay lubak lubak na mapanganib sa motorsiklo nangyari ito kanina pa.",Road Hazard,Medium,tagalog
May matanda na hirap huminga sinasabing masakit ang dibdib niya,Medical,High,tagalog
Daing tubig na maiinom sa samuyang lugar sa tulong aldaw na ini kaipuhan na gayod nin tabang.,Utility,High,bikol
"Aram ko na dakul kamong trabaho pero May naheling na aso sa dumpsite, tibaad may nagkakalayo na basura",Fire,Medium,bikol
Ang overpass ay may malaking bitak at delikado na sa mga gumagamit umaasa po kaming maaksyunan ito.,Infrastructure,High,tagalog
"Nagbaha na sa samuyang harong, gabos na gamit nalubugan na",Flooding,High,bikol
"Aram ko na dakul kamong trabaho pero May naheling kaming mga gapo sa kalsada, tibaad hali sa bukid kaipuhan nin tulong ngunyan.",Landslide,Low,bikol
"Nag-aalala kami huli ta Naputol an pangenot na tubo nin tubig, gabos kami daing tubig kaipuhan na gayod nin tabang.",Utility,High,bikol
Ang ilaw sa aming sityo ay kumukurap na baka may problema sa linya nangyari ito kanina pa.,Power Hazard,Low,tagalog
Nag aalala po kami dahil May konting spark sa lumang socket sa aming barangay hall kailangan ng agad na aksyon.,Power Hazard,Low,tagalog
"Pakiusap tabangan kami, Dakul na adik an naheheling sa samuyang lugar kada banggi, kaipuhan aksyon salamat.",Security,Medium,bikol
"Nagtatanong po kung may aksyon na, May pagguho ng lupa sa taas ng bundok naharang ang daan pababa nangyari ito kanina pa.",Landslide,High,tagalog
"Nagtatanong po kung may aksyon na, Naputol ang gas line malapit sa mga bahay mapanganib sa pagsabog",Utility,High,tagalog
May live wire na nahulog sa kalsada mapanganib sa lahat maraming salamat po.,Power Hazard,High,tagalog
"Pakiusap sana ay tulungan kami, Maraming residente ang hindi kumakain dahil sa tagtuyot wala silang pagkain maraming salamat po.",Food,Medium,tagalog
Gusto ko lang ireport na Nasira ang tulay dahil sa lakas ng baha hindi na madaraanan kailangan ng agad na aksyon.,Flooding,High,tagalog
Nag aalala po kami dahil Ang street light sa aming lugar ay naputulan ng ilaw gusto ko lang ireport umaasa po kaming maaksyunan ito.,Utility,Low,tagalog
"Nagtatanong po kung may aksyon na, Nalaglag ang overpass bridge component sa kalsada delikado sa mga sasakyan kailangan na talaga ng tulong.",Road Hazard,High,tagalog
Naaksidente ang aking kapitbahay kailangan ng agad na tulong medikal nangyari ito kanina pa.,Medical,High,tagalog
"Aram ko na dakul kamong trabaho pero An wiring kan sarong harong daan na, tibaad magkorto-sirkito kaipuhan nin tulong ngunyan.",Power Hazard,Medium,bikol
May bata na binugbog kailangan ng medical attention agad maraming salamat po.,Medical,High,tagalog
"Nagtatanong po kung may aksyon na, Gusto ko lang ireport na maraming lamok sa aming lugar",Medical,Low,tagalog
Alam ko po na marami kayong trabaho pero Malaking sunog sa lumber yard apoy papalaki na nangyari ito kanina pa.,Fire,High,tagalog
Gusto ko lang ireport na Nakita ko ang isang suspetsa na taong nagtatago sa likod ng building,Security,High,tagalog
"Naghahapot ako kun igwa nang aksyon, Dakulang sunog sa palengke, nagdadakula pa an kalayo, kaipuhan nin tabang kaipuhan na gayod nin tabang.",Fire,High,bikol
"Mahal na barangay tanggapan, Kailangan ng food assistance ang maraming pamilya sa aming barangay kailangan na talaga ng tulong.",Food,Medium,tagalog
Naghihilaw an salog asin nag-aalsa na sa mga harong sa gilid tabangan niyo kami tabi.,Flooding,High,bikol
Gusto ko lang ireport na Kailangan ng vitamins ang mga bata sa aming purok maraming salamat po.,Medical,Low,tagalog
"Pakiusap sana ay tulungan kami, Apoy na lumabas sa transformer nagdulot ng sunog sa tabi nitong bahay",Fire,High,tagalog
"Mahal na barangay tanggapan, Mataas na ang tubig sa aming lugar halos hanggang dibdib na salamat po.",Flooding,High,tagalog
Walang kuryente ngayon kaya nagrereport lang kung may nangyari maraming salamat po.,Utility,Low,tagalog
"Importante ini, Nahulog an daga hali sa gilid kan kalsada, nakaharang na an dalan",Road Hazard,High,bikol
"Pakiusap tabangan kami, An pinto kan sityo hall sira na, masakit buksan salamat.",Structural,Low,bikol
Gusto ko sanang i-report na Daing tubig na maiinom sa samuyang lugar sa tulong aldaw na ini ini nangyari ngunyan.,Utility,High,bikol
May nagtatambay sa atubangan kan samuyang harong kada banggi kaipuhan nin tulong ngunyan.,Security,Low,bikol
